original,log_transform,sqrt_transform,boxcox_transform
0,0.0,0.0,-1.4192229040894428
1,0.6931471805599453,1.0,9.999998522024034e-07
2,1.0986122886681098,1.4142135623730951,0.8936787765441284
3,1.3862943611198906,1.7320508075688772,1.658500048224766
4,1.6094379124341003,2.0,2.3500680456132415
5,1.791759469228055,2.23606797749979,2.991815787998928
6,1.9459101490553132,2.449489742783178,3.596465207602067
7,2.0794415416798357,2.6457513110645907,4.1719112376958005
8,2.1972245773362196,2.8284271247461903,4.723484559773036
9,2.302585092994046,3.0,5.255001349679752
10,2.3978952727983707,3.1622776601683795,5.769313922443673
11,2.4849066497880004,3.3166247903554,6.268626025992412
12,2.5649493574615367,3.4641016151377544,6.754685699471147
13,2.6390573296152584,3.605551275463989,7.2289095012876885
14,2.70805020110221,3.7416573867739413,7.692465934610598
15,2.772588722239781,3.872983346207417,8.146333429139696
16,2.833213344056216,4.0,8.591341817049349
17,2.8903717578961645,4.123105625617661,9.02820273868264
18,2.9444389791664403,4.242640687119285,9.457532409165756
19,2.995732273553991,4.358898943540674,9.879868982203467
20,3.044522437723423,4.47213595499958,10.295686009535093
21,3.091042453358316,4.58257569495584,10.705403024867387
22,3.1354942159291497,4.69041575982343,11.109393973986686
23,3.1780538303479458,4.795831523312719,11.507994007098109
24,3.2188758248682006,4.898979485566356,11.901505008772867
25,3.258096538021482,5.0,12.290200142818913
26,3.295836866004329,5.0990195135927845,12.674327619835852
27,3.332204510175204,5.196152422706632,13.054113845106809
28,3.367295829986474,5.291502622129181,13.429766067862248
29,3.4011973816621555,5.385164807134504,13.801474625840365
30,3.4339872044851463,5.477225575051661,14.169414858754305
31,3.4657359027997265,5.5677643628300215,14.533748748885692
32,3.4965075614664802,5.656854249492381,14.89462633524274
33,3.5263605246161616,5.744562646538029,15.252186938617191
34,3.5553480614894135,5.830951894845301,15.6065602277762
35,3.58351893845611,5.916079783099616,15.957867151445688
36,3.6109179126442243,6.0,16.30622075632122
37,3.6375861597263857,6.082762530298219,16.651726907814997
