rank,window,scenario_short,graph_mode,mae,rmse,best_val_loss,elapsed_min,n_features,n_nodes,n_edges,scenario
1,12,S3,static,2.6143953800201416,3.730520517679096,0.00014488480028799236,44.429503206412,9,40,706,S3_transport_pm10_pollutants
2,48,S5,static,2.631080150604248,3.8080701262644636,0.00015265982925912418,50.42831894159317,9,40,706,S5_transport_pm10_pollutants_allmask
3,48,S3,static,2.661078929901123,3.822315775172407,0.00014454855053747237,139.00464206933978,9,40,706,S3_transport_pm10_pollutants
4,24,S10,soft_dynamic,2.6683478355407715,3.856305836376871,0.0001396283231716713,27.74903750419617,18,40,706,S10_transport_all_summarymask
5,48,S10,soft_dynamic,2.670318603515625,3.861448402827648,0.00013902991422048004,53.44733533859253,18,40,706,S10_transport_all_summarymask
6,48,S8,static,2.6707324981689453,3.892576532511904,0.00014263196220888535,50.21425203084946,8,40,706,S8_transport_pm10_rain
7,12,S7,static,2.6985316276550293,3.80286716411548,0.00015262888404703157,31.813716761271163,10,40,706,S7_transport_pm10_weather
8,48,S2,static,2.7031850814819336,3.8843803080417403,0.00014691360616673002,149.21899292866388,5,40,706,S2_transport_pm10_pm10mask
9,48,S3,soft_dynamic,2.70406436920166,3.8984346867553104,0.00015451350186862435,146.3509640177091,9,40,706,S3_transport_pm10_pollutants
10,24,S3,soft_dynamic,2.7138025760650635,3.916006370780836,0.00015353565793381732,94.31936041116714,9,40,706,S3_transport_pm10_pollutants
